Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
May 28,LAA,TOR,L5-6,CG,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.242,.313,.434,.747,2,1.30,-0.033,1.58,-0.02%,-0.46,4.00,6.20,DH
May 29,LAA,TOR,L10-11,CG,5,3,2,2,0,0,2,3,1,0,1,1,0,0,0,0,0,0,.249,.325,.470,.796,2,.94,0.298,1.18,0.22%,3.01,34.00,46.90,DH
May 31,LAA,NYY,L1-9,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.324,.471,.795,2,.38,-0.032,.42,-0.02%,-0.96,5.00,6.00,DH
Jun 2 (1),LAA,NYY,L1-6,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.247,.321,.464,.785,2,.47,-0.049,.51,-0.03%,-1.12,3.00,3.00,DH P
Jun 2 (2),LAA,NYY,L1-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.244,.320,.457,.776,2,.98,-0.020,.99,-0.01%,-0.34,2.00,3.00,DH
Jun 3,LAA,PHI,L0-10,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.240,.318,.450,.768,2,.45,-0.027,.43,-0.02%,-0.62,2.00,3.00,DH
Jun 4,LAA,PHI,L2-7,CG,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,.243,.326,.450,.776,2,.56,0.036,.50,0.02%,0.57,9.00,12.20,DH
Jun 5,LAA,PHI,L7-9,CG,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.242,.323,.449,.773,2,.68,0.083,.60,0.04%,0.38,7.00,9.20,DH
Jun 6,LAA,BOS,L0-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.242,.322,.445,.768,2,1.43,-0.110,1.24,-0.06%,-0.39,3.00,3.00,DH
Jun 7,LAA,BOS,L5-6,CG(10),5,4,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,.242,.324,.447,.770,2,1.53,-0.048,1.25,-0.02%,-0.30,9.00,12.20,DH
Jun 8,LAA,BOS,L0-1,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.242,.322,.443,.765,1,.91,-0.038,.67,-0.02%,-0.30,3.00,3.00,DH
Jun 9,LAA,BOS,W5-2,CG,4,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.247,.325,.457,.783,2,.88,0.245,.58,0.10%,1.74,19.00,25.20,DH P
Jun 10,LAA,NYM,L3-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.324,.454,.778,2,.84,-0.030,.57,-0.01%,-0.38,3.00,3.00,DH
Jun 11,LAA,NYM,W11-6,CG,5,4,3,3,1,0,1,3,1,0,1,0,0,0,0,0,0,0,.255,.333,.476,.810,3,.40,0.215,.25,0.08%,3.34,32.00,44.10,DH
Jun 14,LAA,LAD,L0-2,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.260,.336,.481,.817,3,1.36,0.064,.84,0.02%,0.17,8.00,9.00,DH
Jun 15,LAA,LAD,L1-4,CG,4,4,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,.259,.335,.485,.820,3,.65,-0.051,.34,-0.02%,-0.11,10.00,12.20,DH
Jun 16,LAA,SEA,W4-1,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.337,.486,.823,3,.47,-0.012,.25,0.00%,-0.13,6.00,6.00,DH P
Jun 18 (1),LAA,SEA,W4-2,CG(10),5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.258,.331,.476,.807,3,1.11,-0.088,.56,-0.03%,-0.95,0.00,0.00,DH
Jun 18 (2),LAA,SEA,W3-0,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.254,.326,.468,.794,3,.55,-0.052,.28,-0.02%,-0.60,0.00,0.00,DH
Jun 19,LAA,SEA,W4-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.322,.461,.782,3,.48,-0.048,.31,-0.02%,-0.79,0.00,0.00,DH
Jun 20,LAA,KCR,L2-6,CG,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.252,.328,.461,.789,3,.65,0.062,.44,0.03%,0.48,7.00,9.00,DH
Jun 21,LAA,KCR,L11-12,CG(11),6,4,2,3,0,0,2,8,0,0,0,0,0,2,0,0,0,0,.260,.331,.489,.820,3,2.19,0.480,1.40,0.18%,4.38,43.00,61.40,DH
Jun 22,LAA,KCR,W5-0,CG,5,3,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.260,.336,.487,.822,2,.76,0.072,.41,0.02%,0.25,7.00,9.00,DH P
Jun 24,LAA,SEA,L3-4,CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.261,.338,.485,.823,3,1.70,-0.051,1.01,-0.02%,0.07,7.00,9.50,DH
Jun 25,LAA,SEA,L3-5,CG,5,4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,.261,.339,.493,.831,3,1.49,0.000,.78,0.00%,0.36,16.00,21.70,DH
Jun 26,LAA,SEA,W2-1,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.259,.341,.489,.830,3,1.94,-0.060,.85,-0.02%,-0.28,4.00,6.00,DH
Jun 27,LAA,CHW,W4-3,CG,4,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,.260,.343,.487,.830,3,.76,-0.019,.37,-0.01%,-0.08,10.00,12.00,DH
